,Datetime,Date,Year,Hour,Price,circulationpump,dishwasher,freezer,gridexport,gridimport,pv,washingmachine,dishwasher_dif,dishwasher_cost,washingmachine_dif,washingmachine_cost
0,2016-01-01 00:00:00,2016-01-01 00:00:00,2016,0,44.78,139.795,8.091000000000001,-240.99900000000002,0.4,1929.07,1361.605,6.932,0.0,0.0,0.0,0.0
1,2016-01-01 01:00:00,2016-01-01 00:00:00,2016,1,41.18,139.795,8.091000000000001,-240.985,0.4,1929.07,1361.605,6.932,0.0,0.0,0.0,0.0
2,2016-01-01 02:00:00,2016-01-01 00:00:00,2016,2,33.62,139.795,8.091000000000001,-240.956,0.4,1929.07,1361.605,6.932,0.0,0.0,0.0,0.0
3,2016-01-01 03:00:00,2016-01-01 00:00:00,2016,3,34.82,139.795,8.091000000000001,-240.94,0.4,1929.07,1361.605,6.932,0.0,0.0,0.0,0.0
4,2016-01-01 04:00:00,2016-01-01 00:00:00,2016,4,34.04,139.795,8.091000000000001,-240.91299999999998,0.4,1929.07,1361.605,6.932,0.0,0.0,0.0,0.0
5,2016-01-01 05:00:00,2016-01-01 00:00:00,2016,5,31.72,139.795,8.091000000000001,-240.893,0.4,1929.07,1361.605,6.932,0.0009999999999994458,3.1719999999982424e-05,0.0,0.0
6,2016-01-01 06:00:00,2016-01-01 00:00:00,2016,6,36.32,139.795,8.092,-240.87,0.4,1929.07,1361.605,6.932,0.0,0.0,0.0,0.0
7,2016-01-01 07:00:00,2016-01-01 00:00:00,2016,7,35.46,139.795,8.092,-240.847,0.4,1929.07,1361.605,6.932,0.0,0.0,0.0,0.0
8,2016-01-01 08:00:00,2016-01-01 00:00:00,2016,8,39.54,139.795,8.092,-240.828,0.4,1929.07,1361.605,6.932,0.0,0.0,0.0,0.0
9,2016-01-01 09:00:00,2016-01-01 00:00:00,2016,9,47.5,139.795,8.092,-240.8,0.4,1929.07,1361.605,6.932,0.0,0.0,0.0,0.0
10,2016-01-01 10:00:00,2016-01-01 00:00:00,2016,10,52.06,139.795,8.092,-240.785,0.4,1929.07,1361.605,6.932,0.0,0.0,0.0,0.0
