,Hour,Count1,Cluster_id1,Best_h1,Price_weekday1,Savings1,Final_Savings1,Count2,Cluster_id2,Best_h2,Price_sat2,Savings2,Final_Savings2,Count3,Cluster_id3,Best_h3,Price_sun3,Savings3,Final_Savings3
0,0,31,0,0,22.245593869731803,0.0,0.0,8,0,0,23.26773584905661,0.0,0.0,10,0,0,17.756730769230767,0.0,0.0
1,1,38,0,0,21.259003831417626,0.0,0.0,5,0,0,22.121886792452827,0.0,0.0,9,0,0,16.85653846153847,0.0,0.0
2,2,38,0,0,21.253984674329512,0.0,0.0,5,0,0,21.703773584905658,0.0,0.0,8,0,0,16.4475,0.0,0.0
3,3,26,0,0,22.811762452107267,0.0,0.0,12,0,0,21.910377358490557,0.0,0.0,5,0,0,16.34692307692308,0.0,0.0
4,4,65,2,1,27.572758620689658,4.760996168582391,309.4647509578554,5,2,1,22.46226415094339,0.5518867924528337,2.7594339622641684,8,2,1,16.354230769230767,0.007307692307687574,0.058461538461500595
5,5,96,3,1,33.96816091954022,6.395402298850559,613.9586206896537,8,3,1,23.646226415094336,1.1839622641509457,9.471698113207566,11,3,1,16.132499999999997,0.22173076923077062,2.439038461538477
6,6,81,4,1,38.84609195402297,4.877931034482749,395.1124137931027,15,4,1,26.455094339622644,2.8088679245283075,42.13301886792461,9,4,1,18.069615384615386,1.9371153846153888,17.4340384615385
7,7,90,4,2,38.16226053639844,2.032183908045951,182.8965517241356,20,4,2,28.553584905660376,0.2799999999999976,5.599999999999952,11,4,2,19.27634615384616,0.581730769230763,6.399038461538392
8,8,101,3,0,36.13007662835249,0.0,0.0,24,3,0,28.833584905660373,0.0,0.0,17,3,0,19.858076923076922,0.0,0.0
9,9,101,3,0,34.76678160919539,0.0,0.0,21,3,0,28.049622641509444,0.0,0.0,21,3,0,20.438653846153848,0.0,0.0
10,10,80,3,2,33.142988505747105,1.7302298850574545,138.41839080459636,23,3,2,26.766603773584905,1.75660377358491,40.40188679245293,19,3,2,18.889615384615386,3.0688461538461542,58.30807692307693
11,11,57,2,2,31.41275862068965,0.6191187739463686,35.28977011494301,19,2,2,25.009999999999994,1.189056603773583,22.592075471698077,15,2,2,15.820769230769232,2.757884615384617,41.36826923076925
12,12,70,1,0,30.793639846743282,0.0,0.0,14,1,0,23.82094339622641,0.0,0.0,12,1,0,13.062884615384615,0.0,0.0
13,13,92,2,1,31.125938697318016,0.33229885057473396,30.571494252875524,14,2,1,23.449622641509443,0.3713207547169688,5.198490566037563,11,2,1,14.322307692307694,1.2594230769230794,13.853653846153874
14,14,95,2,0,32.29329501915707,0.0,0.0,15,2,0,24.83754716981133,0.0,0.0,12,2,0,15.680192307692304,0.0,0.0
15,15,99,3,1,34.97827586206895,2.6849808429118767,265.8131034482758,18,3,1,28.09037735849057,3.2528301886792406,58.55094339622633,19,3,1,20.791923076923087,5.111730769230784,97.12288461538489
16,16,98,4,1,39.56819923371647,4.589923371647522,449.8124904214572,17,4,1,32.40754716981132,4.317169811320753,73.3918867924528,20,4,1,27.49230769230769,6.700384615384603,134.00769230769208
17,17,64,4,0,40.51260536398469,0.0,0.0,15,4,0,34.4866037735849,0.0,0.0,18,4,0,31.1675,0.0,0.0
18,18,54,4,2,38.23605363984672,4.242337164750943,229.0862068965509,11,4,2,32.42113207547171,3.0566037735849108,33.62264150943402,9,4,2,31.03423076923077,1.9288461538461625,17.359615384615463
19,19,42,3,0,33.99371647509578,0.0,0.0,10,3,0,29.3645283018868,0.0,0.0,12,3,0,29.105384615384608,0.0,0.0
20,20,27,3,2,30.608275862068965,2.795019157088113,75.46551724137905,10,3,2,27.65075471698113,1.502641509433957,15.02641509433957,7,3,2,27.80384615384616,1.759230769230772,12.314615384615404
21,21,43,2,2,27.81325670498085,2.611226053639836,112.28272030651294,7,2,2,26.148113207547173,3.4277358490565994,23.994150943396196,5,2,2,26.044615384615387,3.7221153846153925,18.610576923076962
22,22,34,1,0,25.202030651341015,0.0,0.0,7,1,0,22.720377358490573,0.0,0.0,6,1,0,22.322499999999994,0.0,0.0
23,23,35,1,1,24.044750957854408,1.1572796934866076,40.50478927203127,5,1,1,19.459056603773586,3.261320754716987,16.306603773584936,6,1,1,20.9025,1.4199999999999946,8.519999999999968
